group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_CD4_EoE	Factor1	0.003717512031864434	9.429977909647391e-7	7.370523993688316e-4	0.004285787808655517	1.5114866913634728e-5
Blood_CD4_EoE	Factor2	-0.00209795842560645	8.24725545633953e-5	0.0013848396582472056	0.02169140336152342	1.6380674791038885e-4
Blood_CD4_EoE	Factor3	-0.015111630715280988	0.3297350266445176	2.6159939126024767e-4	0.018567876228059443	-0.006354614588000018
Blood_CD4_EoE	Factor4	85.18509130082982	6.398755943160028	2.8814599069069136	0.08324193820022918	0.007423351048063687
Blood_CD4_EoE	Factor5	0.04851039283697567	0.002652777945466589	0.004803544596709841	0.032154863112354715	7.875069074625429e-5
Blood_EoE	Factor1	-Inf	-0.09639522997519911	0.02067446489381064	0.36521309753894116	-482.7832046123686
Blood_EoE	Factor2	-Inf	-1589.056175077389	0.35692155829551986	1.1647755236480317	-31.51826292957005
Blood_EoE	Factor3	-Inf	-9230237.325225769	0.061335584771327056	1.5108486088986184	-124387146.31510447
Blood_EoE	Factor4	-Inf	-260097295.8175348	-0.39599649741863807	4.267933584532624	-355848578.8446322
Blood_EoE	Factor5	-Inf	-15.191971916912038	0.10731592906230158	1.1817344997614887	-3.099536682067594
