group	factor	Archaea_Blood	Archaea_Esophagus	Bacteria_Blood	Bacteria_Esophagus	Fungi_Blood	Fungi_Esophagus	Human_Blood	Human_Esophagus	Protozoa_Blood	Protozoa_Esophagus	Viral_Blood	Viral_Esophagus
EoE	Factor1	0.0039998577469502195	0.01144151006700067	-9.087173014066252e-7	0.053233542348762874	-1.6875497892421265e-4	0.014767285630390425	0.1536253713536162	0.3862840842744908	8.827352838469693e-4	0.022804775291562773	0.014749520652745929	1.2709727819082417e-4
EoE	Factor2	0.009859698630398928	0.02438827080033512	6.503612199781905e-4	0.0014932347699780912	0.009957816254158036	0.6747191900714711	0.02559014564806894	0.04471101721998938	0.004550336037634217	0.02388798407226833	0.806348853440142	-1.9588127786462906e-4
EoE	Factor3	0.5706619489249887	0.2839626775128501	0.0061126256550081415	0.001477918267778211	0.07380520617532582	9.473510126367657e-4	0.12940804402515882	0.028642319715299625	1.001080482132355	6.732900274974973e-4	-1.869783021524185e-4	-0.0030273002777470026
EoE	Factor4	2.165397937945468	0.4791820656939061	0.639957618777065	4.818759155034158e-5	3.9449232653621324	3.3116163189461645e-5	0.34176664854178584	0.019240836769196523	0.02237073102495657	-2.310065028154895e-5	41.49351217016737	0.016298829542527038
EoE	Factor5	0.19276814424208366	4.2509008379817415	4.6833115163735783e-7	-9.430145776136968	96.61200312913427	7.902684556671636	0.12847106872049263	1.0123439212956997	0.13668416727286026	1.2328881593717256	8.706845244788042e-8	-0.6391098717321242
GERD	Factor1	-Inf	0.012557499377396919	8.875640856720324e-5	0.13426845872154258	0.003021895576060807	-0.009890537654189124	1.0223593386277208	0.32014841209951905	-0.01733070843705775	0.04007909667016474	-0.09515677578657566	-0.019035460109817492
GERD	Factor2	-Inf	0.030966708081536787	-0.008466661458350622	0.01482817684510529	-1.0140735221080943	2.901433091815786	0.3626573204992267	0.02375848781247525	-0.08840533769951531	0.01647593811343606	-912.5067812573863	0.6317925104444289
GERD	Factor3	-Inf	0.0018979835337273876	0.04460641823508249	-0.0013564989587377951	0.40759756516243195	0.002624524089445135	0.34205247972884933	0.0015240632062152315	2.4485383139331574	-3.5087379250953177e-4	1.1219309610157824	0.023278786616653946
GERD	Factor4	-Inf	-0.10258542578425178	19.890944005242762	5.687155110178921e-5	2.6730254243306995	1.3041327528995339e-5	1.2998756302024073	0.10394945468970018	0.024887885675806132	5.99114579946658e-4	-738711.7723828077	0.3191257505179901
GERD	Factor5	-Inf	8.947033951301409	-4.148388299540784e-8	28.162951169144733	-5.50344878981377	69.17667600628764	-0.03713214321345859	0.8041033450918778	0.0033766074897023657	4.575379619532716	-7.718509989151912e-4	91.99183731192682
