sample	group	view	value	combi	ntotal	ptotal
GSM1022678	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1022679	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1022680	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1022681	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1022682	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1022683	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415912	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415913	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415914	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415915	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415916	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415917	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415918	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415919	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415920	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM1415921	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103946	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103947	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103948	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103949	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103950	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103951	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103952	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103953	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103954	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM3103955	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260265	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260266	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260267	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260268	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260269	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260270	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260271	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260272	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260273	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260274	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260275	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4260276	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4735795	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4735797	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
GSM4735802	EoE	Archaea_Blood	FALSE	missing	N=78	D=64
