feature	factor	value	view
A2M	Factor1	-1.957688817314625e-4	Human transcriptome
A2ML1	Factor1	-4.105022190032615e-5	Human transcriptome
A4GALT	Factor1	0.0011063267583036433	Human transcriptome
AAAS	Factor1	0.012270356385823638	Human transcriptome
AACS	Factor1	0.001238719832912656	Human transcriptome
AAED1	Factor1	-3.0268928082875314e-5	Human transcriptome
AAGAB	Factor1	0.0013332325524844253	Human transcriptome
AAK1	Factor1	0.23411189343762473	Human transcriptome
AAMP	Factor1	0.1400694592752221	Human transcriptome
AAR2	Factor1	0.09072316874295232	Human transcriptome
AARS	Factor1	0.1724508920694409	Human transcriptome
AARS2	Factor1	0.017126179414383786	Human transcriptome
AASDH	Factor1	0.005323791775910222	Human transcriptome
AASDHPPT	Factor1	3.165422264440558e-4	Human transcriptome
AASS	Factor1	-3.878846330640917e-6	Human transcriptome
AATBC	Factor1	9.831055597597885e-6	Human transcriptome
AATF	Factor1	-5.064082932767138e-5	Human transcriptome
AATK	Factor1	-7.516638334855641e-5	Human transcriptome
ABAT	Factor1	6.586401273897082e-4	Human transcriptome
ABCA1	Factor1	-0.00583236227208832	Human transcriptome
ABCA12	Factor1	8.047820397203403e-4	Human transcriptome
ABCA13	Factor1	5.545635775427763e-4	Human transcriptome
ABCA2	Factor1	0.0033719591875629304	Human transcriptome
ABCA3	Factor1	-1.0525052778518867e-5	Human transcriptome
ABCA5	Factor1	0.11811226810793242	Human transcriptome
ABCA7	Factor1	0.005482688512394173	Human transcriptome
ABCB1	Factor1	-1.7125216171291404e-5	Human transcriptome
ABCB10	Factor1	0.003581544291029528	Human transcriptome
ABCB7	Factor1	8.502281200008362e-4	Human transcriptome
ABCB8	Factor1	0.0028659646783316907	Human transcriptome
ABCB9	Factor1	6.722472478454793e-4	Human transcriptome
ABCC1	Factor1	0.3886078500014508	Human transcriptome
ABCC10	Factor1	0.07750513290078924	Human transcriptome
ABCC3	Factor1	6.11980955156181e-4	Human transcriptome
ABCC4	Factor1	5.147735283590291e-4	Human transcriptome
ABCC5	Factor1	0.41579705088897595	Human transcriptome
ABCD2	Factor1	-1.6411654064208186e-5	Human transcriptome
ABCD3	Factor1	9.435264847139375e-4	Human transcriptome
ABCD4	Factor1	0.07637665477413867	Human transcriptome
ABCE1	Factor1	0.16835460935807495	Human transcriptome
ABCF1	Factor1	0.0020868012313559232	Human transcriptome
ABCF2	Factor1	0.00175888431874474	Human transcriptome
ABCF3	Factor1	0.014699031427789297	Human transcriptome
ABCG1	Factor1	5.85696881446023e-5	Human transcriptome
ABHD10	Factor1	0.0015887298674768038	Human transcriptome
ABHD11	Factor1	-7.36963437127314e-5	Human transcriptome
ABHD12	Factor1	0.12016865363567383	Human transcriptome
ABHD13	Factor1	0.0014377926092440114	Human transcriptome
ABHD14B	Factor1	2.139695318319781e-4	Human transcriptome
ABHD15	Factor1	2.324093122038119e-4	Human transcriptome
ABHD17A	Factor1	0.078777262380815	Human transcriptome
ABHD17B	Factor1	-1.9551271961450185e-6	Human transcriptome
ABHD17C	Factor1	0.09604025479016495	Human transcriptome
ABHD18	Factor1	-2.55263083542961e-4	Human transcriptome
ABHD2	Factor1	0.021902728782965397	Human transcriptome
ABHD3	Factor1	3.5380448022340216e-4	Human transcriptome
ABHD4	Factor1	6.789476700004646e-4	Human transcriptome
ABHD5	Factor1	8.988585347384137e-4	Human transcriptome
ABHD6	Factor1	3.5201234689243173e-4	Human transcriptome
ABHD8	Factor1	6.539577394136379e-5	Human transcriptome
ABI1	Factor1	0.33513420069890537	Human transcriptome
ABI2	Factor1	0.12452829546321922	Human transcriptome
ABI3	Factor1	1.6355650856327613e-6	Human transcriptome
ABL1	Factor1	2.194612185693508e-4	Human transcriptome
ABL2	Factor1	0.08903752811955197	Human transcriptome
ABLIM1	Factor1	0.39536969596764726	Human transcriptome
ABLIM3	Factor1	-0.004866749035375257	Human transcriptome
ABO	Factor1	-8.710736846067387e-5	Human transcriptome
ABR	Factor1	0.017695070237945577	Human transcriptome
ABRACL	Factor1	0.015588151879271957	Human transcriptome
ABT1	Factor1	0.019080578745572768	Human transcriptome
ABTB1	Factor1	6.397056122343725e-4	Human transcriptome
ABTB2	Factor1	4.3717105613717426e-4	Human transcriptome
AC000123.2	Factor1	0.002156733725904433	Human transcriptome
AC005154.6	Factor1	0.00590917721837937	Human transcriptome
AC006129.2	Factor1	3.237785884046886e-5	Human transcriptome
AC006978.6	Factor1	0.004965825118440525	Human transcriptome
AC007879.7	Factor1	7.816835599028987e-5	Human transcriptome
AC007969.5	Factor1	0.0029944818726939542	Human transcriptome
AC009120.6	Factor1	4.6736172383423817e-4	Human transcriptome
AC009948.5	Factor1	0.06330231345656492	Human transcriptome
AC013461.1	Factor1	0.1732705946540087	Human transcriptome
AC016831.7	Factor1	-3.6090123079677054e-5	Human transcriptome
AC024560.3	Factor1	0.020723221155259538	Human transcriptome
AC074289.1	Factor1	2.0465064771409283e-5	Human transcriptome
AC093323.3	Factor1	0.0012613812001965338	Human transcriptome
AC093818.1	Factor1	8.043735638731438e-4	Human transcriptome
AC093838.4	Factor1	2.433629087112365e-4	Human transcriptome
AC108142.1	Factor1	4.279252229334482e-5	Human transcriptome
AC116366.5	Factor1	1.817225127612688e-5	Human transcriptome
AC116366.6	Factor1	7.251199444117627e-5	Human transcriptome
AC137932.5	Factor1	0.056897950604475	Human transcriptome
ACAA1	Factor1	3.501558873092724e-4	Human transcriptome
ACAA2	Factor1	2.167321514393695e-4	Human transcriptome
ACACA	Factor1	0.2640250054462909	Human transcriptome
ACACB	Factor1	3.8261078402765064e-6	Human transcriptome
ACAD10	Factor1	0.07379169237482906	Human transcriptome
ACAD8	Factor1	0.0016188988165351725	Human transcriptome
