group	factor	Human transcriptome
Esophagus_EoE	Factor1	0.47511484713924634
Esophagus_EoE	Factor2	0.391744686515727
Esophagus_EoE	Factor3	0.07487418938743051
Esophagus_EoE	Factor4	0.0982965586965423
Esophagus_EoE	Factor5	0.041953376888392846
Esophagus_fibroblasts_EoE	Factor1	1.5988803713805844
Esophagus_fibroblasts_EoE	Factor2	0.871923551863274
Esophagus_fibroblasts_EoE	Factor3	0.3191601114640119
Esophagus_fibroblasts_EoE	Factor4	0.01893740604654859
Esophagus_fibroblasts_EoE	Factor5	0.004661164743680057
