x	y	value	x_condition	y_condition
GSM1022678	GSM1022678	1	Esophagus_EoE	Esophagus_EoE
GSM1022679	GSM1022678	0.7722480220465562	Esophagus_EoE	Esophagus_EoE
GSM1022680	GSM1022678	0.9276918219134828	Esophagus_EoE	Esophagus_EoE
GSM1022681	GSM1022678	0.8910020435686621	Esophagus_EoE	Esophagus_EoE
GSM1022682	GSM1022678	0.8199915317499253	Esophagus_EoE	Esophagus_EoE
GSM1022683	GSM1022678	0.9043688006779154	Esophagus_EoE	Esophagus_EoE
GSM1022684	GSM1022678	0.9199559501170665	Esophagus_GERD	Esophagus_EoE
GSM1022685	GSM1022678	0.878768095029494	Esophagus_GERD	Esophagus_EoE
GSM1022686	GSM1022678	0.943847803838968	Esophagus_GERD	Esophagus_EoE
GSM1022687	GSM1022678	0.9087422604378848	Esophagus_GERD	Esophagus_EoE
GSM1022688	GSM1022678	0.9235484265567302	Esophagus_GERD	Esophagus_EoE
GSM1022689	GSM1022678	0.9387096774193548	Esophagus_GERD	Esophagus_EoE
GSM1022690	GSM1022678	0.7733777068367149	Esophagus_Control	Esophagus_EoE
GSM1022691	GSM1022678	0.8945666006283677	Esophagus_Control	Esophagus_EoE
GSM1022692	GSM1022678	0.8837440979077402	Esophagus_Control	Esophagus_EoE
GSM1022693	GSM1022678	0.7056358219433185	Esophagus_Control	Esophagus_EoE
GSM1022694	GSM1022678	0.7846978510749227	Esophagus_Control	Esophagus_EoE
GSM1022695	GSM1022678	0.8681230496288186	Esophagus_Control	Esophagus_EoE
GSM1385778	GSM1022678	0.8573513316263413	Esophagus_Control	Esophagus_EoE
GSM1385779	GSM1022678	0.8996141781978676	Esophagus_Control	Esophagus_EoE
GSM1385780	GSM1022678	0.9245006571085369	Esophagus_Control	Esophagus_EoE
GSM1385781	GSM1022678	0.5058571652010921	Esophagus_Control	Esophagus_EoE
GSM1385782	GSM1022678	0.8712620328833386	Esophagus_Control	Esophagus_EoE
GSM1385783	GSM1022678	0.9162615100214907	Esophagus_Control	Esophagus_EoE
GSM1415906	GSM1022678	0.46543794419215323	Esophagus_Control	Esophagus_EoE
GSM1415907	GSM1022678	0.6435315396370902	Esophagus_Control	Esophagus_EoE
GSM1415908	GSM1022678	0.5824840460665558	Esophagus_Control	Esophagus_EoE
GSM1415909	GSM1022678	0.5529839656943274	Esophagus_Control	Esophagus_EoE
GSM1415910	GSM1022678	0.5196086702689359	Esophagus_Control	Esophagus_EoE
GSM1415911	GSM1022678	0.49696158860148143	Esophagus_Control	Esophagus_EoE
GSM1415912	GSM1022678	0.8006557743346887	Esophagus_EoE	Esophagus_EoE
GSM1415913	GSM1022678	0.8020712660892468	Esophagus_EoE	Esophagus_EoE
GSM1415914	GSM1022678	0.8091190692573799	Esophagus_EoE	Esophagus_EoE
GSM1415915	GSM1022678	0.6992395127172808	Esophagus_EoE	Esophagus_EoE
GSM1415916	GSM1022678	0.78248001581696	Esophagus_EoE	Esophagus_EoE
GSM1415917	GSM1022678	0.8141749545979166	Esophagus_EoE	Esophagus_EoE
GSM1415918	GSM1022678	0.852190573555902	Esophagus_EoE	Esophagus_EoE
GSM1415919	GSM1022678	0.7750855588208525	Esophagus_EoE	Esophagus_EoE
GSM1415920	GSM1022678	0.7457679787614184	Esophagus_EoE	Esophagus_EoE
GSM1415921	GSM1022678	0.7612431543615696	Esophagus_EoE	Esophagus_EoE
GSM4735785	GSM1022678	0.8098757204538614	Blood_EoE	Esophagus_EoE
GSM4735786	GSM1022678	0.7950774280332176	Blood_Control	Esophagus_EoE
GSM4735787	GSM1022678	0.7915860938233796	Blood_EoE	Esophagus_EoE
GSM4735788	GSM1022678	0.8057386931266295	Blood_GERD	Esophagus_EoE
GSM4735789	GSM1022678	0.8066545829107666	Blood_GERD	Esophagus_EoE
GSM4735790	GSM1022678	0.811177267776464	Blood_GERD	Esophagus_EoE
