feature	factor	value	view
A2M	Factor1	0.026154094355635225	Human transcriptome
A2ML1	Factor1	-0.04362183941101164	Human transcriptome
A4GALT	Factor1	0.041003150024031126	Human transcriptome
AAAS	Factor1	0.11611837600476874	Human transcriptome
AACS	Factor1	0.19335983516745317	Human transcriptome
AADAC	Factor1	0.0038650518579105143	Human transcriptome
AAED1	Factor1	0.009398952110652075	Human transcriptome
AAGAB	Factor1	0.08251527740922114	Human transcriptome
AAK1	Factor1	0.023218576523548067	Human transcriptome
AAMP	Factor1	0.2085945961915991	Human transcriptome
AAR2	Factor1	0.11909389568143917	Human transcriptome
AARS	Factor1	0.39933257187796906	Human transcriptome
AARS2	Factor1	0.015672600012878263	Human transcriptome
AASDH	Factor1	0.014272036597909734	Human transcriptome
AASDHPPT	Factor1	0.09547984441084299	Human transcriptome
AASS	Factor1	-7.486872262697885e-4	Human transcriptome
AATBC	Factor1	0.004164268785903552	Human transcriptome
AATF	Factor1	0.2023245369000889	Human transcriptome
AATK	Factor1	0.012477069413732406	Human transcriptome
ABAT	Factor1	0.01040008615721688	Human transcriptome
ABCA1	Factor1	-0.10403722074902323	Human transcriptome
ABCA10	Factor1	0.0010784221837446856	Human transcriptome
ABCA12	Factor1	0.05115943497524963	Human transcriptome
ABCA13	Factor1	0.019349649585912617	Human transcriptome
ABCA2	Factor1	0.007608490981345703	Human transcriptome
ABCA5	Factor1	0.13388418429254187	Human transcriptome
ABCA6	Factor1	0.0017241410872965409	Human transcriptome
ABCA7	Factor1	0.009035832862872236	Human transcriptome
ABCA8	Factor1	8.501664762623542e-5	Human transcriptome
ABCB10	Factor1	0.12418637257030168	Human transcriptome
ABCB7	Factor1	0.06792220637375851	Human transcriptome
ABCB8	Factor1	0.11683777701358385	Human transcriptome
ABCB9	Factor1	-0.003549963731245022	Human transcriptome
ABCC1	Factor1	0.10660242469230825	Human transcriptome
ABCC10	Factor1	0.01957059997416999	Human transcriptome
ABCC3	Factor1	-0.0019082091392986253	Human transcriptome
ABCC4	Factor1	0.0343491849292412	Human transcriptome
ABCC5	Factor1	0.3829304443304994	Human transcriptome
ABCD3	Factor1	0.1948046292603275	Human transcriptome
ABCD4	Factor1	0.06869292205407919	Human transcriptome
ABCE1	Factor1	0.2804237566048081	Human transcriptome
ABCF1	Factor1	0.16747837406108912	Human transcriptome
ABCF2	Factor1	0.04481575810706781	Human transcriptome
ABCF3	Factor1	0.13655731220686368	Human transcriptome
ABCG1	Factor1	-0.0042261771350368075	Human transcriptome
ABHD10	Factor1	0.037052819769767084	Human transcriptome
ABHD11	Factor1	0.02008781556461671	Human transcriptome
ABHD12	Factor1	-0.005000799759296001	Human transcriptome
ABHD13	Factor1	0.07061346381890814	Human transcriptome
ABHD14B	Factor1	0.05452126195253289	Human transcriptome
ABHD15	Factor1	0.014744143681994011	Human transcriptome
ABHD17A	Factor1	0.06575951851291975	Human transcriptome
ABHD17B	Factor1	-0.004488857770325016	Human transcriptome
ABHD17C	Factor1	0.10959292151654457	Human transcriptome
ABHD18	Factor1	0.06105622251306759	Human transcriptome
ABHD2	Factor1	0.184751767211025	Human transcriptome
ABHD3	Factor1	-0.0017448635256956807	Human transcriptome
ABHD4	Factor1	0.15324972534086073	Human transcriptome
ABHD5	Factor1	-0.09970697962570162	Human transcriptome
ABHD6	Factor1	0.020253664398893333	Human transcriptome
ABHD8	Factor1	0.002301535763207574	Human transcriptome
ABI1	Factor1	0.165997147504525	Human transcriptome
ABI2	Factor1	0.04935494775108598	Human transcriptome
ABI3BP	Factor1	-0.0023565955829471094	Human transcriptome
ABL1	Factor1	0.10546176027310489	Human transcriptome
ABL2	Factor1	0.06021583875886101	Human transcriptome
ABLIM1	Factor1	0.06791606696579491	Human transcriptome
ABLIM2	Factor1	0.00266351062369847	Human transcriptome
ABLIM3	Factor1	-0.05180101486903831	Human transcriptome
ABO	Factor1	-0.0045795938951330014	Human transcriptome
ABR	Factor1	0.18854665838037585	Human transcriptome
ABRACL	Factor1	0.0986222144486127	Human transcriptome
ABT1	Factor1	0.09276881515226972	Human transcriptome
ABTB2	Factor1	-0.04997451767858177	Human transcriptome
AC004951.5	Factor1	6.010820899580434e-4	Human transcriptome
AC005154.6	Factor1	0.057537525048411024	Human transcriptome
AC005532.5	Factor1	-0.09033396707917707	Human transcriptome
AC005682.5	Factor1	0.0014350898590338342	Human transcriptome
AC006262.5	Factor1	4.0417881087239277e-4	Human transcriptome
AC006978.6	Factor1	0.0094756969689690565	Human transcriptome
AC007246.3	Factor1	0.0046353151358874975	Human transcriptome
AC009948.5	Factor1	0.0018386525594854361	Human transcriptome
AC013461.1	Factor1	0.21742916633496656	Human transcriptome
AC024560.3	Factor1	0.04194075063985566	Human transcriptome
AC024592.9	Factor1	-0.009043937649675282	Human transcriptome
AC025171.1	Factor1	-7.846844133243428e-4	Human transcriptome
AC025335.1	Factor1	0.0030709292650957314	Human transcriptome
AC074286.1	Factor1	-0.0023713169786942633	Human transcriptome
AC083843.1	Factor1	0.00578062494979472	Human transcriptome
AC093323.3	Factor1	0.03341445374772527	Human transcriptome
AC093838.4	Factor1	0.013403740943861256	Human transcriptome
AC103563.8	Factor1	-0.00313574430017185	Human transcriptome
AC103563.9	Factor1	0.001006886376572778	Human transcriptome
AC137932.5	Factor1	0.0014534999844985194	Human transcriptome
ACAA1	Factor1	0.027850780252615413	Human transcriptome
ACAA2	Factor1	-0.0032513498240708716	Human transcriptome
ACACA	Factor1	0.31991543741188255	Human transcriptome
ACACB	Factor1	0.003477484302520992	Human transcriptome
ACAD10	Factor1	0.06686606860626176	Human transcriptome
ACAD8	Factor1	0.005375501684084602	Human transcriptome
ACAD9	Factor1	0.1927865107374345	Human transcriptome
ACADM	Factor1	0.023581145883500246	Human transcriptome
