sample	cluster	condition	control
GSM2769396	1	Esophagus_ESCs_Control_cluster_1	TRUE
GSM2769397	5	Esophagus_ESCs_Control_cluster_5	TRUE
GSM2769398	5	Esophagus_ESCs_Control_cluster_5	TRUE
GSM1022684	5	Esophagus_GERD_cluster_5	FALSE
GSM1022685	1	Esophagus_GERD_cluster_1	FALSE
GSM1022686	1	Esophagus_GERD_cluster_1	FALSE
GSM1022687	2	Esophagus_GERD_cluster_2	FALSE
GSM1022688	5	Esophagus_GERD_cluster_5	FALSE
GSM1022689	4	Esophagus_GERD_cluster_4	FALSE
GSM4735798	5	Esophagus_GERD_cluster_5	TRUE
GSM4735800	3	Esophagus_GERD_cluster_3	TRUE
GSM4735799	2	Esophagus_GERD_cluster_2	TRUE
GSM4735801	3	Esophagus_GERD_cluster_3	TRUE
