group	factor	Human transcriptome
Esophagus_Control	Factor1	0.27461584035978204
Esophagus_Control	Factor2	0.7181176194452021
Esophagus_Control	Factor3	0.07316516568037779
Esophagus_Control	Factor4	0.014470640736796714
Esophagus_Control	Factor5	0.013665315515531962
Esophagus_ESCs_Control	Factor1	3.2609777794231576
Esophagus_ESCs_Control	Factor2	0.7814267392088126
Esophagus_ESCs_Control	Factor3	0.9152302504832344
Esophagus_ESCs_Control	Factor4	0.2665695047038841
Esophagus_ESCs_Control	Factor5	0.14283283430586158
