x	y	value	x_condition	y_condition
GSM1022678	GSM1022678	1	Esophagus_EoE	Esophagus_EoE
GSM1022679	GSM1022678	0.9969135802469136	Esophagus_EoE	Esophagus_EoE
GSM1022680	GSM1022678	0.9923195084485407	Esophagus_EoE	Esophagus_EoE
GSM1022681	GSM1022678	0.9921142299172842	Esophagus_EoE	Esophagus_EoE
GSM1022682	GSM1022678	0.9969135802469136	Esophagus_EoE	Esophagus_EoE
GSM1022683	GSM1022678	0.9920927839783742	Esophagus_EoE	Esophagus_EoE
GSM1022684	GSM1022678	0.9874960203214712	Esophagus_GERD	Esophagus_EoE
GSM1022685	GSM1022678	0.986017305202341	Esophagus_GERD	Esophagus_EoE
GSM1022686	GSM1022678	0.9874960203214712	Esophagus_GERD	Esophagus_EoE
GSM1022687	GSM1022678	0.9969230769230769	Esophagus_GERD	Esophagus_EoE
GSM1022688	GSM1022678	0.9878048780487805	Esophagus_GERD	Esophagus_EoE
GSM1022689	GSM1022678	0.9874960203214712	Esophagus_GERD	Esophagus_EoE
GSM1022690	GSM1022678	0.9874960203214712	Esophagus_Control	Esophagus_EoE
GSM1022691	GSM1022678	0.9887800873484447	Esophagus_Control	Esophagus_EoE
GSM1022692	GSM1022678	0.9921142299172842	Esophagus_Control	Esophagus_EoE
GSM1022693	GSM1022678	0.9876923076923078	Esophagus_Control	Esophagus_EoE
GSM1022694	GSM1022678	0.9920897739302691	Esophagus_Control	Esophagus_EoE
GSM1022695	GSM1022678	0.9920927839783742	Esophagus_Control	Esophagus_EoE
GSM1385778	GSM1022678	0.9920927839783742	Esophagus_Control	Esophagus_EoE
GSM1385779	GSM1022678	0.9523809523809524	Esophagus_Control	Esophagus_EoE
GSM1385780	GSM1022678	0.9905537812397881	Esophagus_Control	Esophagus_EoE
GSM1385781	GSM1022678	0.989247311827957	Esophagus_Control	Esophagus_EoE
GSM1385782	GSM1022678	0.9609609609609611	Esophagus_Control	Esophagus_EoE
GSM1385783	GSM1022678	0.9890225373664663	Esophagus_Control	Esophagus_EoE
GSM1415906	GSM1022678	0.9086773372402304	Esophagus_Control	Esophagus_EoE
GSM1415907	GSM1022678	0.9494156930773995	Esophagus_Control	Esophagus_EoE
GSM1415908	GSM1022678	0.9844004719581546	Esophagus_Control	Esophagus_EoE
GSM1415909	GSM1022678	0.9621875796282715	Esophagus_Control	Esophagus_EoE
GSM1415910	GSM1022678	0.9700219614144667	Esophagus_Control	Esophagus_EoE
GSM1415911	GSM1022678	0.9640036775614205	Esophagus_Control	Esophagus_EoE
GSM1415912	GSM1022678	0.9829984544049459	Esophagus_EoE	Esophagus_EoE
GSM1415913	GSM1022678	0.986046511627907	Esophagus_EoE	Esophagus_EoE
GSM1415914	GSM1022678	0.9903508517141212	Esophagus_EoE	Esophagus_EoE
GSM1415915	GSM1022678	0.9872441795728305	Esophagus_EoE	Esophagus_EoE
GSM1415916	GSM1022678	0.986046511627907	Esophagus_EoE	Esophagus_EoE
GSM1415917	GSM1022678	0.9874213578918614	Esophagus_EoE	Esophagus_EoE
GSM1415918	GSM1022678	0.9903508517141212	Esophagus_EoE	Esophagus_EoE
GSM1415919	GSM1022678	0.9779735755520171	Esophagus_EoE	Esophagus_EoE
GSM1415920	GSM1022678	0.9872441795728305	Esophagus_EoE	Esophagus_EoE
GSM1415921	GSM1022678	0.9874603073959123	Esophagus_EoE	Esophagus_EoE
GSM4735785	GSM1022678	0.9887800873484447	Blood_EoE	Esophagus_EoE
GSM4735786	GSM1022678	0.9874213578918614	Blood_Control	Esophagus_EoE
GSM4735787	GSM1022678	0.9887800873484447	Blood_EoE	Esophagus_EoE
GSM4735788	GSM1022678	0.9887800873484447	Blood_GERD	Esophagus_EoE
GSM4735789	GSM1022678	0.9887800873484447	Blood_GERD	Esophagus_EoE
GSM4735790	GSM1022678	0.9887800873484447	Blood_GERD	Esophagus_EoE
GSM4735791	GSM1022678	0.9887800873484447	Blood_GERD	Esophagus_EoE
GSM4735792	GSM1022678	0.9887800873484447	Blood_EoE	Esophagus_EoE
GSM4735793	GSM1022678	0.9887800873484447	Blood_EoE	Esophagus_EoE
GSM4735794	GSM1022678	0.9887800873484447	Blood_EoE	Esophagus_EoE
GSM4735795	GSM1022678	0.9887800873484447	Esophagus_EoE	Esophagus_EoE
GSM4735796	GSM1022678	0.9887800873484447	Esophagus_Control	Esophagus_EoE
GSM4735797	GSM1022678	0.9887800873484447	Esophagus_EoE	Esophagus_EoE
GSM4735798	GSM1022678	0.9887800873484447	Esophagus_GERD	Esophagus_EoE
GSM4735799	GSM1022678	0.9887800873484447	Esophagus_GERD	Esophagus_EoE
GSM4735800	GSM1022678	0.9887800873484447	Esophagus_GERD	Esophagus_EoE
GSM4735801	GSM1022678	0.9887800873484447	Esophagus_GERD	Esophagus_EoE
GSM4735802	GSM1022678	0.9887800873484447	Esophagus_EoE	Esophagus_EoE
GSM4735803	GSM1022678	0.9887800873484447	Esophagus_EoE	Esophagus_EoE
GSM4735804	GSM1022678	0.9887800873484447	Esophagus_EoE	Esophagus_EoE
GSM5282507	GSM1022678	0.5038259347444785	Blood_EoE	Esophagus_EoE
GSM5282508	GSM1022678	0.5816095578352133	Blood_EoE	Esophagus_EoE
GSM5282509	GSM1022678	0.5241686617416016	Blood_EoE	Esophagus_EoE
GSM5282510	GSM1022678	0.878135162055155	Blood_EoE	Esophagus_EoE
GSM5282511	GSM1022678	0.8878806681533187	Blood_EoE	Esophagus_EoE
