sample	cluster	condition	control
GSM1385778	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM1385779	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM1385780	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM1385781	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM1385782	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM1385783	1	Esophagus_ECs_Control_cluster_1	TRUE
GSM2769390	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769391	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM2769392	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769393	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM2769394	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM2769395	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769396	5	Esophagus_ESCs_Control_cluster_5	TRUE
GSM2769397	4	Esophagus_ESCs_Control_cluster_4	TRUE
GSM2769398	4	Esophagus_ESCs_Control_cluster_4	TRUE
