group	factor	Human transcriptome
Esophagus_ECs_Control	Factor1	1.3976834747423728
Esophagus_ECs_Control	Factor2	0.9877890603421369
Esophagus_ECs_Control	Factor3	0.17830429078934396
Esophagus_ECs_Control	Factor4	0.07065043988547792
Esophagus_ECs_Control	Factor5	0.036361852402788664
Esophagus_ESCs_Control	Factor1	4.237510827924529
Esophagus_ESCs_Control	Factor2	1.9889590553555547
Esophagus_ESCs_Control	Factor3	0.41777921497151427
Esophagus_ESCs_Control	Factor4	0.1082706732689398
Esophagus_ESCs_Control	Factor5	0.0199391474972499
