group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_EoE	Factor1	-Inf	-0.13391627900680714	0.18333120326755603	0.2930439786831385	-186.63380300890958
Blood_EoE	Factor2	-Inf	-0.11643755843082637	0.0053446068167928296	1.2712360798716182	-292.6916444495109
Blood_EoE	Factor3	-Inf	1.5033846478829105e-5	1.2147495782599549e-4	1.549355061913893e-4	0.1813971006947468
Blood_EoE	Factor4	-Inf	0.07408222639621043	-0.17784294544624935	-0.02664234295983725	-28.080316758020697
Blood_EoE	Factor5	-Inf	-3.919490871417963e-4	0.05521438362907638	1.490021103184902	-3.2290788289901506
Esophagus_Control	Factor1	0.016059215478947397	2.464607351537751e-5	0.004699164768962039	0.030520876419226628	0.0016722807765434666
Esophagus_Control	Factor2	3.4907932057182123e-4	1.202377826192702e-5	0.0036135512232471356	0.08132630348338665	8.006983965080927e-4
Esophagus_Control	Factor3	2.1764253947322287	1.3536614352771537e-4	1.5419569927721755	0.028875353456370156	0.7486307401854186
Esophagus_Control	Factor4	1.1428023757260153	0.0019512189223913623	0.5837667555850024	0.7070105445110553	0.7310431631008085
Esophagus_Control	Factor5	2.882292619910132e-4	1.569511931531764e-6	0.007480802576331769	0.21026589009522922	1.7474527055361122e-4
