sample	group	view	value	combi	ntotal	ptotal
GSM1022690	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1022691	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1022692	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1022693	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1022694	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1022695	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385778	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385779	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385780	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385781	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385782	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1385783	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415906	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415907	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415908	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415909	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415910	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM1415911	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM2769390	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769391	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769392	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769393	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769394	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769395	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769396	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769397	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM2769398	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3103956	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103957	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103958	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103959	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103960	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103961	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103962	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103963	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103964	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM3103965	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM4735796	Control	Archaea_Esophagus	TRUE	Archaea_Esophagus	N=166	D=66
GSM4735786	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056401	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056402	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056403	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056404	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056405	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056406	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056407	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056408	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056409	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056410	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056415	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056416	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056417	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056418	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056419	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056420	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056421	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056422	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056437	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056438	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056446	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056447	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056448	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056449	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056450	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056451	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056452	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056453	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056454	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056455	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056456	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056457	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056465	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056466	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056467	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056468	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056469	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056470	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056471	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056472	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056473	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056478	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056479	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056480	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056481	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056482	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056483	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056484	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056485	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056486	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056487	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056488	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056489	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056494	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056495	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056496	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056497	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056498	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056499	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
GSM3056500	Control	Archaea_Esophagus	FALSE	missing	N=166	D=66
