group	factor	Archaea_Blood	Archaea_Esophagus	Bacteria_Blood	Bacteria_Esophagus	Fungi_Blood	Fungi_Esophagus	Human_Blood	Human_Esophagus	Protozoa_Blood	Protozoa_Esophagus	Viral_Blood	Viral_Esophagus
Control	Factor1	-0.004657721479905952	2.1989575971215203e-5	0.12333563496821354	5.230697985858512e-7	-0.0023442123853856245	9.925439981017803e-6	0.8667034317578204	0.016041957507384463	12.101897408017203	1.1529237198271147e-4	1.697191867044978e-5	0.004133816305740279
Control	Factor2	0.6828822473424201	5.242758448931184e-4	1.8153945913201852e-5	0.004657332081436927	5.313503519843721e-4	2.404655047749671e-4	1.361903557401145	0.1027359858988941	0.0012597688041293686	0.5709231913187729	1.1514137604473618e-4	0.008642206988818124
Control	Factor3	28.570017841915472	0.002033763637143693	5.340168756640118e-4	0.09709608935362102	3.691166534203205e-4	0.014557384270863505	0.03530284939829986	0.12281750885999587	0.1686595919018763	0.759810829496399	0.0075303453891284455	-0.012163601323300632
Control	Factor4	-0.003691106022896129	8.492098099277534e-4	8.229475015886223e-5	2.09732938794005e-6	2.664629070170399e-4	4.8696396850456125e-4	0.04186881588388314	0.009963558712733356	7.491910884911379	1.274319009203495e-5	9.198443295943548e-6	5.072122380989086e-5
Control	Factor5	-0.0023979165556520243	4.382116548518056e-5	0.024587200764725203	1.8323044193024884e-7	4.327777234913732e-4	5.589211080625489e-5	0.5079824538882005	0.005077176880396994	15.726066509456194	5.280949660901868e-5	2.4656039876447267e-6	4.125615994388099e-5
GERD	Factor1	-Inf	4.1806408934697004e-5	0.8690979219209694	2.6152108534294172e-5	0.09680474009702289	3.884291801536932e-4	1.4796262114242564	0.017312262899193964	-1.6799293105714375	3.4327703607450744e-4	7.089675235438797e-4	0.016118594956127108
GERD	Factor2	-Inf	-2.381982413091066e-4	-1.562445408609392e-5	0.01478174702029822	3.302665669835392e-5	5.16728103439057e-4	0.0429165357003547	0.3572761004721481	0.007118144122908454	-0.04011408431354724	5.525795154781576e-7	0.004998664034761013
GERD	Factor3	-Inf	0.0018252333473744997	-4.4289735843250355e-4	1.684676445482236	-0.031810579384772275	-0.014769498423827798	4.0406357203481846e-4	0.4367742104162686	0.07473547886406307	0.9174080689232755	-0.005574577324929386	0.18328233322301157
GERD	Factor4	-Inf	2.5648960133572984e-4	-9.755916398734854e-4	1.578846451355531e-5	-0.06526514903884006	5.495133934552143e-4	0.4488491234296399	0.002183662848320722	0.13836620708093106	9.648608467749398e-6	-0.00509589677848421	9.569193980540902e-5
GERD	Factor5	-Inf	-8.731374314674412e-5	0.12482445317244517	-2.5297191452722245e-6	0.22554735225162048	1.0185163779041773e-5	8.325814898332407	0.020276095609372824	48.08116011766358	3.0970992903611716e-5	-0.18045276073446193	3.0016333707472143e-5
