group	factor	Human transcriptome
Esophagus_Control	Factor1	0.20030990470149002
Esophagus_Control	Factor2	1.3425777861715393
Esophagus_Control	Factor3	0.26965784204311394
Esophagus_Control	Factor4	0.00548501927941647
Esophagus_Control	Factor5	0.034525865372669884
Esophagus_fibroblasts_EoE	Factor1	1.2764696608067894
Esophagus_fibroblasts_EoE	Factor2	0.07834638190751253
Esophagus_fibroblasts_EoE	Factor3	0.7313100353909086
Esophagus_fibroblasts_EoE	Factor4	0.2780589450471993
Esophagus_fibroblasts_EoE	Factor5	0.2056396296077012
