group	factor	Archaea_Blood	Archaea_Esophagus	Bacteria_Blood	Bacteria_Esophagus	Fungi_Blood	Fungi_Esophagus	Human_Blood	Human_Esophagus	Protozoa_Blood	Protozoa_Esophagus	Viral_Blood	Viral_Esophagus
Control	Factor1	-Inf	0.002033451745220294	-Inf	1.2010932348704983e-5	-Inf	0.09905369045404289	0.026497184093088322	0.06867110230220907	-Inf	-0.004231984883706907	-Inf	0.6652566931719894
Control	Factor2	-Inf	0.0018363795840303787	-Inf	3.3360140050398e-5	-Inf	0.09409658912714614	0.35168204869669983	0.013397397737457961	-Inf	0.073843556938058	-Inf	0.05579150306614933
Control	Factor3	-Inf	0.006394415659249919	-Inf	0.010894876916778262	-Inf	5.038036262061674e-4	0.006903733514174171	0.1758627952086811	-Inf	1.0388244713818495	-Inf	0.007523079436766444
Control	Factor4	-Inf	22.722650060385906	-Inf	0.012461142860187291	-Inf	20.776708965269286	0.4894567705290398	0.003927530395997358	-Inf	27.558111313244805	-Inf	2.3810746063207544
Control	Factor5	-Inf	6.216210305498571e-4	-Inf	6.889476766858138e-8	-Inf	2.805156786855889e-5	0.022972768295792534	0.006963447824948066	-Inf	1.2709207575234416e-6	-Inf	4.5092957146053436e-7
EoE	Factor1	0.8837248851727986	0.0023026292478522947	0.026940095813676734	-1.0816375350941598e-6	0.4130648376727941	0.0030905743352849235	0.012906256204137101	0.051623018766189244	0.1123677269241119	0.007845041093057503	2.0518422605420028e-5	0.010792363711398245
EoE	Factor2	0.002201213697095028	0.0022164011609371315	9.449159898977655e-7	-6.071492686388069e-6	-0.0011620329739558954	0.3322559737551578	0.13741184587937605	0.012997998136554667	0.0015967606093236775	0.1506724967648143	6.178974165660378e-6	0.020768809920856945
EoE	Factor3	0.4614442660549112	7.618673513509755e-4	0.009102070047517508	-0.008923654102410694	0.5108845181507227	9.026899597364135e-4	0.002986632798940292	0.31890097150564234	0.021875675016369556	0.08133081677976772	1.570189422928081e-5	5.876988531383631e-5
EoE	Factor4	0.004753374859589599	48.89508423300314	0.01569706265276416	0.035659540398169653	0.22083933284730017	18.083449526807282	0.2932244667040784	0.025146841127332564	0.002154550380539799	35.72937489145196	0.0010579962555490319	0.5588710722700285
EoE	Factor5	0.01696050151213102	0.002117461946371524	1.1976056590867756e-6	1.027417706467304e-7	6.754385673324315e-4	5.435381857932242e-5	0.007118499724345639	0.02492607833296523	6.213716995717711e-4	5.391906698903881e-7	8.773884418999955e-6	1.2770312585175247e-7
