x	y	value	x_condition	y_condition
GSM1022678	GSM1022678	1	Esophagus_EoE	Esophagus_EoE
GSM1022679	GSM1022678	0.926380362511423	Esophagus_EoE	Esophagus_EoE
GSM1022680	GSM1022678	0.9214039807508766	Esophagus_EoE	Esophagus_EoE
GSM1022681	GSM1022678	0.7219387225639282	Esophagus_EoE	Esophagus_EoE
GSM1022682	GSM1022678	0.5652624463157874	Esophagus_EoE	Esophagus_EoE
GSM1022683	GSM1022678	0.941393709359936	Esophagus_EoE	Esophagus_EoE
GSM1022684	GSM1022678	0.9006655672003059	Esophagus_GERD	Esophagus_EoE
GSM1022685	GSM1022678	0.9041859549978412	Esophagus_GERD	Esophagus_EoE
GSM1022686	GSM1022678	0.5829983645961156	Esophagus_GERD	Esophagus_EoE
GSM1022687	GSM1022678	0.6562093724448488	Esophagus_GERD	Esophagus_EoE
GSM1022688	GSM1022678	0.94220855232623	Esophagus_GERD	Esophagus_EoE
GSM1022689	GSM1022678	0.8445959784586099	Esophagus_GERD	Esophagus_EoE
GSM1022690	GSM1022678	0.7521173282411764	Esophagus_Control	Esophagus_EoE
GSM1022691	GSM1022678	0.5679566648235145	Esophagus_Control	Esophagus_EoE
GSM1022692	GSM1022678	0.8689255679478455	Esophagus_Control	Esophagus_EoE
GSM1022693	GSM1022678	0.7513704270085872	Esophagus_Control	Esophagus_EoE
GSM1022694	GSM1022678	0.7525467744471568	Esophagus_Control	Esophagus_EoE
GSM1022695	GSM1022678	0.854321798221833	Esophagus_Control	Esophagus_EoE
GSM1385778	GSM1022678	0.6641749142691514	Esophagus_Control	Esophagus_EoE
GSM1385779	GSM1022678	0.7150055759296345	Esophagus_Control	Esophagus_EoE
GSM1385780	GSM1022678	0.6400296281512803	Esophagus_Control	Esophagus_EoE
GSM1385781	GSM1022678	0.9176386768445858	Esophagus_Control	Esophagus_EoE
GSM1385782	GSM1022678	0.8628242809552736	Esophagus_Control	Esophagus_EoE
