group	factor	Archaea_Blood	Bacteria_Blood	Fungi_Blood	Human_Blood	Protozoa_Blood	Viral_Blood
Control	Factor1	5.393693728317217e-5	1.815311175477441	27.168412953355347	1.3210491206041008	35.65423825080579	0.013466353785329677
Control	Factor2	15.26439865002226	-9.542490084779587e-5	-2.6363601921541857e-4	0.052660110405100546	4.7015006509043005	1.8515825085775095
Control	Factor3	-0.1904292203809721	-0.5021092660747684	-0.908653761900502	1.5264927426034136	-1.6482996274375106	-8.874192425345484e-4
Control	Factor4	3.711686623802124	7.97718779965706e-4	0.004667729635676743	0.15512231395284903	0.030047217546791405	0.0019773697252034594
Control	Factor5	-0.09434384780002691	0.0012997894893951312	-0.007131458112841216	0.41899792405917236	-0.0154855242050278	-0.0064958933114089845
IBD	Factor1	3.164044359849072e-7	1.396287852379341	16.822363250976736	0.8992380975275327	30.79752692026876	0.03259257353411815
IBD	Factor2	0.05865220753787925	5.425556828586586e-4	-1.6544736687329475e-4	0.039963886731053666	-0.6108579134904923	10.692607963008903
IBD	Factor3	0.022723718057693354	0.27638522766878504	0.16515864295459926	2.839572750799768	3.2794451526139468	0.0025486191810308867
IBD	Factor4	0.09813461591011707	0.0015658889709668777	0.0024323746893539777	0.10801232025470231	0.0051169563869080115	0.005722765259219553
IBD	Factor5	0.005881049873923683	0.005671943084928355	0.0020592174990952117	0.28806734049409144	0.008538634355503838	0.001072400098378612
