group	factor	Human transcriptome
Blood_CD4_EoE	Factor1	0.014519320252814882
Blood_CD4_EoE	Factor2	0.036395079294715416
Blood_CD4_EoE	Factor3	0.08836948983372839
Blood_CD4_EoE	Factor4	0.015845051286489387
Blood_CD4_EoE	Factor5	0.00538750956845524
Esophagus_fibroblasts_EoE	Factor1	1.1651681385476453
Esophagus_fibroblasts_EoE	Factor2	0.3292160677025646
Esophagus_fibroblasts_EoE	Factor3	0.23736827848142017
Esophagus_fibroblasts_EoE	Factor4	0.03977609054419684
Esophagus_fibroblasts_EoE	Factor5	0.024594301633096283
