group	factor	Archaea_Esophagus	Bacteria_Blood	Bacteria_Esophagus	Fungi_Blood	Fungi_Esophagus	Human_Blood	Human_Esophagus	Protozoa_Blood	Protozoa_Esophagus	Viral_Blood	Viral_Esophagus
GERD	Factor1	0	2.793354329398312	0	0.28505758715530183	0	7.320885057351378	0	23.190054888113476	0	-2.7730491196642504e-4	0
GERD	Factor2	0	-3.230911094220801e-8	0	-3.5796055009029715e-8	0	7.484879382957388e-9	0	3.8820058279043224e-10	0	-1.6919798895287386e-10	0
GERD	Factor3	0	-0.0043289212857011705	0	-4.814437858962384	0	0.11057824875588818	0	1.334949872622171	0	-0.001005850939250763	0
GERD	Factor4	0	-0.17870723053896587	0	0.02523517981561918	0	2.004525274341351	0	-31.141516772825774	0	11.050988840810783	0
IBD	Factor1	NA	1.053024269425984	NA	1.1801925823284876e-4	NA	0.5281994548826718	NA	21.03077129138309	NA	2.1391005300408494e-6	NA
IBD	Factor2	NA	2.1834589365797963	NA	0.16554367999696007	NA	0.05464492977499402	NA	-4.6345776403278194e-4	NA	19.343013833798782	NA
IBD	Factor3	NA	0.22801857376522072	NA	0.22580636424868183	NA	2.644345366197842	NA	2.2126276812271195	NA	-8.290184031034542e-4	NA
IBD	Factor4	NA	0.055512910588917386	NA	-1.0754541583946065e-4	NA	0.3044864284314497	NA	18.12050163666732	NA	8.12798458593722e-4	NA
