x	y	value	x_condition	y_condition
GSM1415915	GSM1022678	0.7775538682977771	Esophagus_EoE	Esophagus_EoE
GSM1415916	GSM1022678	0.784983227760526	Esophagus_EoE	Esophagus_EoE
GSM1415917	GSM1022678	0.765615789530698	Esophagus_EoE	Esophagus_EoE
GSM1415918	GSM1022678	0.7562431044897729	Esophagus_EoE	Esophagus_EoE
GSM1415919	GSM1022678	0.7696429788581808	Esophagus_EoE	Esophagus_EoE
GSM1415920	GSM1022678	0.7621418615724532	Esophagus_EoE	Esophagus_EoE
GSM1415921	GSM1022678	0.7869830209733462	Esophagus_EoE	Esophagus_EoE
GSM4735785	GSM1022678	0.9035115547363175	Blood_EoE	Esophagus_EoE
GSM4735786	GSM1022678	0.8967015531814568	Blood_Control	Esophagus_EoE
GSM4735787	GSM1022678	0.902950761975535	Blood_EoE	Esophagus_EoE
GSM4735788	GSM1022678	0.9445383084205933	Blood_GERD	Esophagus_EoE
GSM4735789	GSM1022678	0.8682916996389002	Blood_GERD	Esophagus_EoE
GSM4735790	GSM1022678	0.9229030628748679	Blood_GERD	Esophagus_EoE
GSM4735791	GSM1022678	0.8831043182172148	Blood_GERD	Esophagus_EoE
GSM4735792	GSM1022678	0.8988310881004805	Blood_EoE	Esophagus_EoE
GSM4735793	GSM1022678	0.9050751647666355	Blood_EoE	Esophagus_EoE
GSM4735794	GSM1022678	0.9247760033698178	Blood_EoE	Esophagus_EoE
GSM4735795	GSM1022678	0.8733161021549436	Esophagus_EoE	Esophagus_EoE
GSM4735796	GSM1022678	0.902950761975535	Esophagus_Control	Esophagus_EoE
GSM4735797	GSM1022678	0.902950761975535	Esophagus_EoE	Esophagus_EoE
GSM4735798	GSM1022678	0.9247760033698178	Esophagus_GERD	Esophagus_EoE
GSM4735799	GSM1022678	0.902950761975535	Esophagus_GERD	Esophagus_EoE
GSM4735800	GSM1022678	0.8873781729172323	Esophagus_GERD	Esophagus_EoE
GSM4735801	GSM1022678	0.8967015531814568	Esophagus_GERD	Esophagus_EoE
GSM4735802	GSM1022678	0.9235864394131501	Esophagus_EoE	Esophagus_EoE
GSM4735803	GSM1022678	0.9102360127248428	Esophagus_EoE	Esophagus_EoE
GSM4735804	GSM1022678	0.9305032497259782	Esophagus_EoE	Esophagus_EoE
GSM5282507	GSM1022678	0.6350500495923841	Blood_EoE	Esophagus_EoE
GSM5282508	GSM1022678	0.4158184386097792	Blood_EoE	Esophagus_EoE
GSM5282509	GSM1022678	0.5982079398689321	Blood_EoE	Esophagus_EoE
GSM5282510	GSM1022678	0.2785467354425881	Blood_EoE	Esophagus_EoE
GSM5282511	GSM1022678	0.2970937964655037	Blood_EoE	Esophagus_EoE
GSM5282512	GSM1022678	0.438214454636244	Blood_EoE	Esophagus_EoE
GSM5282513	GSM1022678	0.3628765793275712	Blood_EoE	Esophagus_EoE
GSM5282514	GSM1022678	0.7100965359594442	Blood_EoE	Esophagus_EoE
GSM5282515	GSM1022678	0.24488642256828086	Blood_EoE	Esophagus_EoE
GSM5282516	GSM1022678	0.28652101545983966	Blood_EoE	Esophagus_EoE
GSM5282517	GSM1022678	0.2862366686015313	Blood_EoE	Esophagus_EoE
GSM5282518	GSM1022678	0.585405892977653	Blood_EoE	Esophagus_EoE
GSM5282519	GSM1022678	0.2417699434762327	Blood_EoE	Esophagus_EoE
GSM5282520	GSM1022678	0.2952039861410115	Blood_EoE	Esophagus_EoE
GSM5282521	GSM1022678	0.2869933495567346	Blood_EoE	Esophagus_EoE
GSM5282522	GSM1022678	0.26702174208752516	Blood_EoE	Esophagus_EoE
GSM5282523	GSM1022678	0.5812349426856818	Blood_EoE	Esophagus_EoE
GSM5282524	GSM1022678	0.60900246501103	Blood_EoE	Esophagus_EoE
GSM5282525	GSM1022678	0.621902008499235	Blood_EoE	Esophagus_EoE
GSM5282526	GSM1022678	0.5664478209520909	Blood_EoE	Esophagus_EoE
GSM5282527	GSM1022678	0.5694822224883871	Blood_EoE	Esophagus_EoE
GSM5282528	GSM1022678	0.5679161869988578	Blood_EoE	Esophagus_EoE
GSM5282529	GSM1022678	0.7074094014884609	Blood_EoE	Esophagus_EoE
GSM5282530	GSM1022678	0.2805834572259841	Blood_EoE	Esophagus_EoE
GSM5282531	GSM1022678	0.26454316227123686	Blood_EoE	Esophagus_EoE
GSM5282532	GSM1022678	0.6013783746887498	Blood_EoE	Esophagus_EoE
GSM5282533	GSM1022678	0.6145683499331311	Blood_EoE	Esophagus_EoE
GSM5282534	GSM1022678	0.4396764759975599	Blood_EoE	Esophagus_EoE
GSM5282535	GSM1022678	0.6997518326967274	Blood_EoE	Esophagus_EoE
GSM5282536	GSM1022678	0.41336565316963947	Blood_EoE	Esophagus_EoE
GSM4818000	GSM1022678	0.5525966369948191	Blood_IBD	Esophagus_EoE
GSM4818001	GSM1022678	0.8455580845034074	Blood_IBD	Esophagus_EoE
GSM4818002	GSM1022678	0.8369685969040475	Blood_IBD	Esophagus_EoE
GSM4818003	GSM1022678	0.7485375802842091	Blood_IBD	Esophagus_EoE
GSM4818004	GSM1022678	0.8087242150636859	Blood_IBD	Esophagus_EoE
GSM4818005	GSM1022678	0.45297714197430095	Blood_IBD	Esophagus_EoE
GSM4818006	GSM1022678	0.7935631671054877	Blood_IBD	Esophagus_EoE
GSM4818007	GSM1022678	0.3923298708635067	Blood_IBD	Esophagus_EoE
GSM4818008	GSM1022678	0.6663161859342794	Blood_IBD	Esophagus_EoE
GSM4818009	GSM1022678	0.6977209249019857	Blood_IBD	Esophagus_EoE
GSM4818010	GSM1022678	0.7817112551304174	Blood_IBD	Esophagus_EoE
GSM4818011	GSM1022678	0.7518434096152583	Blood_IBD	Esophagus_EoE
GSM4818012	GSM1022678	0.8502401384716309	Blood_IBD	Esophagus_EoE
GSM4818013	GSM1022678	0.6296033407435226	Blood_IBD	Esophagus_EoE
GSM4818014	GSM1022678	0.6484563131028054	Blood_IBD	Esophagus_EoE
GSM4818015	GSM1022678	0.6633384136268744	Blood_IBD	Esophagus_EoE
GSM4818016	GSM1022678	0.7106035872154282	Blood_IBD	Esophagus_EoE
GSM4818017	GSM1022678	0.6939177294888063	Blood_IBD	Esophagus_EoE
GSM4818018	GSM1022678	0.7733520327733834	Blood_IBD	Esophagus_EoE
GSM4818019	GSM1022678	0.7229342636977509	Blood_IBD	Esophagus_EoE
GSM4818020	GSM1022678	0.6446641743202091	Blood_IBD	Esophagus_EoE
GSM4818021	GSM1022678	0.8507529671902767	Blood_IBD	Esophagus_EoE
GSM4818022	GSM1022678	0.7282184317375419	Blood_IBD	Esophagus_EoE
GSM4818023	GSM1022678	0.5745362057716298	Blood_IBD	Esophagus_EoE
GSM1701327	GSM1022678	0.8572499559834061	Blood_IBD	Esophagus_EoE
GSM1701328	GSM1022678	0.8568914058165757	Blood_IBD	Esophagus_EoE
GSM1701329	GSM1022678	0.8912038155223125	Blood_IBD	Esophagus_EoE
GSM1701330	GSM1022678	0.9052824353502567	Blood_IBD	Esophagus_EoE
GSM1701331	GSM1022678	0.8844329458108516	Blood_IBD	Esophagus_EoE
GSM1701332	GSM1022678	0.9034841320445098	Blood_IBD	Esophagus_EoE
GSM1701333	GSM1022678	0.9115729268265461	Blood_IBD	Esophagus_EoE
GSM1701334	GSM1022678	0.9232606826587912	Blood_IBD	Esophagus_EoE
GSM1701335	GSM1022678	0.9389786296041336	Blood_IBD	Esophagus_EoE
GSM1701336	GSM1022678	0.9262271961169265	Blood_IBD	Esophagus_EoE
GSM1701337	GSM1022678	0.8493362098915447	Blood_Control	Esophagus_EoE
GSM1701338	GSM1022678	0.7037136445823096	Blood_Control	Esophagus_EoE
GSM1701339	GSM1022678	0.942187362166974	Blood_Control	Esophagus_EoE
GSM1701340	GSM1022678	0.8965097212815778	Blood_Control	Esophagus_EoE
GSM1701341	GSM1022678	0.807129441100276	Blood_IBD	Esophagus_EoE
GSM1701342	GSM1022678	0.8053681124634322	Blood_IBD	Esophagus_EoE
GSM1701343	GSM1022678	0.8050301779627995	Blood_IBD	Esophagus_EoE
GSM1701344	GSM1022678	0.8071520241814196	Blood_IBD	Esophagus_EoE
GSM1701345	GSM1022678	0.8067003010846518	Blood_IBD	Esophagus_EoE
GSM1701346	GSM1022678	0.805212943937027	Blood_IBD	Esophagus_EoE
GSM1701347	GSM1022678	0.8067014448738141	Blood_IBD	Esophagus_EoE
GSM1701348	GSM1022678	0.8067040338744775	Blood_IBD	Esophagus_EoE
GSM1701349	GSM1022678	0.8067479437116003	Blood_IBD	Esophagus_EoE
GSM1701350	GSM1022678	0.8077171852530135	Blood_IBD	Esophagus_EoE
GSM1701351	GSM1022678	0.8063355325340843	Blood_Control	Esophagus_EoE
GSM1701352	GSM1022678	0.8073942105776575	Blood_Control	Esophagus_EoE
GSM1701353	GSM1022678	0.8074375854548503	Blood_Control	Esophagus_EoE
GSM1701354	GSM1022678	0.8071339885996297	Blood_Control	Esophagus_EoE
GSM3496511	GSM1022678	0.5573861565047864	Blood_IBD	Esophagus_EoE
GSM3496512	GSM1022678	0.5992960379245478	Blood_IBD	Esophagus_EoE
GSM3496513	GSM1022678	0.60380433489456	Blood_IBD	Esophagus_EoE
GSM3496514	GSM1022678	0.598324525711728	Blood_IBD	Esophagus_EoE
GSM3496515	GSM1022678	0.5149442798867445	Blood_IBD	Esophagus_EoE
GSM3496516	GSM1022678	0.5060773318064996	Blood_IBD	Esophagus_EoE
GSM3496517	GSM1022678	0.4127024219510609	Blood_IBD	Esophagus_EoE
GSM3496518	GSM1022678	0.5169100961809272	Blood_IBD	Esophagus_EoE
GSM3496519	GSM1022678	0.4558901528133271	Blood_IBD	Esophagus_EoE
GSM3496520	GSM1022678	0.1610397523032132	Blood_Control	Esophagus_EoE
GSM3496521	GSM1022678	0.4509034034852666	Blood_Control	Esophagus_EoE
GSM3496522	GSM1022678	0.6271567590790152	Blood_Control	Esophagus_EoE
GSM3496523	GSM1022678	0.47084306424868283	Blood_Control	Esophagus_EoE
GSM3496524	GSM1022678	0.2701636961247731	Blood_Control	Esophagus_EoE
GSM3496525	GSM1022678	0.36458050144052456	Blood_Control	Esophagus_EoE
GSM3496526	GSM1022678	0.2683944035595971	Blood_Control	Esophagus_EoE
GSM3496527	GSM1022678	0.5086414555002365	Blood_Control	Esophagus_EoE
GSM3496528	GSM1022678	0.6105819487525461	Blood_Control	Esophagus_EoE
GSM3496529	GSM1022678	0.42702623376418236	Blood_IBD	Esophagus_EoE
GSM3496530	GSM1022678	0.23411374889429226	Blood_IBD	Esophagus_EoE
GSM3496531	GSM1022678	0.42956001549986145	Blood_IBD	Esophagus_EoE
GSM3496532	GSM1022678	0.48645008704669157	Blood_IBD	Esophagus_EoE
GSM3496533	GSM1022678	0.6133685207074199	Blood_IBD	Esophagus_EoE
GSM3496534	GSM1022678	0.3764774119746196	Blood_IBD	Esophagus_EoE
GSM3496535	GSM1022678	0.4663114452824937	Blood_IBD	Esophagus_EoE
GSM3496536	GSM1022678	0.44579957602613185	Blood_IBD	Esophagus_EoE
GSM3496537	GSM1022678	0.12383061755480607	Blood_IBD	Esophagus_EoE
GSM3496538	GSM1022678	0.34803960846030035	Blood_IBD	Esophagus_EoE
GSM4559002	GSM1022678	0.9543636496177279	Blood_Control	Esophagus_EoE
GSM4559003	GSM1022678	0.9554307800501692	Blood_Control	Esophagus_EoE
GSM4559004	GSM1022678	0.8008896615902166	Blood_Control	Esophagus_EoE
GSM4559005	GSM1022678	0.9313597521595176	Blood_Control	Esophagus_EoE
GSM4559006	GSM1022678	0.9191162553631265	Blood_Control	Esophagus_EoE
GSM4559007	GSM1022678	0.9241973388877495	Blood_Control	Esophagus_EoE
GSM4559008	GSM1022678	0.917309245534854	Blood_Control	Esophagus_EoE
GSM4559009	GSM1022678	0.9447090652951023	Blood_Control	Esophagus_EoE
GSM4559010	GSM1022678	0.9069326841108842	Blood_Control	Esophagus_EoE
GSM4559011	GSM1022678	0.9438635194210298	Blood_Control	Esophagus_EoE
GSM4559012	GSM1022678	0.8802315735804186	Blood_Control	Esophagus_EoE
GSM4559013	GSM1022678	0.8770962139139297	Blood_Control	Esophagus_EoE
GSM1022678	GSM1022679	0.5664320202386672	Esophagus_EoE	Esophagus_EoE
GSM1022679	GSM1022679	1	Esophagus_EoE	Esophagus_EoE
