sample	cluster	condition	control
GSM4735787	4	Blood_EoE_cluster_4	FALSE
GSM4735793	4	Blood_EoE_cluster_4	FALSE
GSM4735785	4	Blood_EoE_cluster_4	FALSE
GSM4735792	4	Blood_EoE_cluster_4	FALSE
GSM4735794	4	Blood_EoE_cluster_4	FALSE
GSM4260265	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260266	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260267	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260268	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260269	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260270	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260271	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260272	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260273	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260274	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260275	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260276	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
