group	factor	Human transcriptome
Blood_EoE	Factor1	0.9195749666454645
Blood_EoE	Factor2	1.726070849901029
Blood_EoE	Factor3	0.5585214317129328
Blood_EoE	Factor4	0.5948115516335561
Blood_EoE	Factor5	0.00873487538761708
Esophagus_fibroblasts_EoE	Factor1	1.757663166901735
Esophagus_fibroblasts_EoE	Factor2	0.5497204757442309
Esophagus_fibroblasts_EoE	Factor3	1.4005866407794443
Esophagus_fibroblasts_EoE	Factor4	0.10808087664354593
Esophagus_fibroblasts_EoE	Factor5	0.02068191945306941
