sample	cluster	condition	control
GSM1385778	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM1385779	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM1385780	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM1385781	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM1385782	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM1385783	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769390	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769391	4	Esophagus_ECs_Control_cluster_4	TRUE
GSM2769392	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM2769393	5	Esophagus_ECs_Control_cluster_5	TRUE
GSM2769394	3	Esophagus_ECs_Control_cluster_3	TRUE
GSM2769395	2	Esophagus_ECs_Control_cluster_2	TRUE
GSM4260265	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260266	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260267	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260268	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260269	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260270	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260271	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260272	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260273	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260274	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260275	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260276	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
