feature	factor	value	view
A2M	Factor1	-1.2745755127084235e-5	Human transcriptome
A2ML1	Factor1	0.004566512657434706	Human transcriptome
A4GALT	Factor1	-8.796719877428304e-5	Human transcriptome
AAAS	Factor1	2.6601611979350262e-6	Human transcriptome
AACS	Factor1	-1.506776686837924e-5	Human transcriptome
AAED1	Factor1	8.454981290138255e-6	Human transcriptome
AAGAB	Factor1	7.112458750506627e-6	Human transcriptome
AAK1	Factor1	8.182832196439701e-5	Human transcriptome
AAMP	Factor1	3.584305190747053e-6	Human transcriptome
AAR2	Factor1	-1.6756556933837227e-6	Human transcriptome
AARS	Factor1	3.972160269497128e-5	Human transcriptome
AARS2	Factor1	-3.3545674339299666e-7	Human transcriptome
AASDH	Factor1	2.3780273308906934e-6	Human transcriptome
AASDHPPT	Factor1	0.015686446083244838	Human transcriptome
AASS	Factor1	-1.0401047128307114e-5	Human transcriptome
AATF	Factor1	1.6537748252742123e-6	Human transcriptome
ABAT	Factor1	-8.966086443818446e-7	Human transcriptome
ABCA1	Factor1	-4.293116980902403e-5	Human transcriptome
ABCA12	Factor1	-2.1424495294671396e-7	Human transcriptome
ABCA2	Factor1	-2.5687100831044e-6	Human transcriptome
ABCA5	Factor1	0.03081214694538372	Human transcriptome
ABCA7	Factor1	-4.797734503446129e-6	Human transcriptome
ABCB10	Factor1	1.5615445100505586e-6	Human transcriptome
ABCB7	Factor1	-3.4875580924680927e-6	Human transcriptome
ABCB8	Factor1	-1.1298652446869702e-5	Human transcriptome
ABCC1	Factor1	8.570839686738909e-5	Human transcriptome
ABCC10	Factor1	2.1397809763899986e-5	Human transcriptome
ABCC3	Factor1	-5.337212133114276e-7	Human transcriptome
ABCC4	Factor1	-6.709055275185904e-5	Human transcriptome
ABCC5	Factor1	4.705837389485068e-7	Human transcriptome
ABCD1	Factor1	6.386809768974653e-7	Human transcriptome
ABCD3	Factor1	3.677315259644054e-5	Human transcriptome
ABCD4	Factor1	-2.47353981592423e-8	Human transcriptome
ABCE1	Factor1	5.569344533938069e-6	Human transcriptome
ABCF1	Factor1	-3.6199924489622923e-6	Human transcriptome
ABCF2	Factor1	1.6092570045368921e-6	Human transcriptome
ABCF3	Factor1	2.325605613498044e-8	Human transcriptome
ABCG1	Factor1	1.3236264018347671e-6	Human transcriptome
ABHD10	Factor1	5.149845519645896e-6	Human transcriptome
ABHD11	Factor1	-7.850123090959271e-7	Human transcriptome
ABHD12	Factor1	-5.4908027962997406e-5	Human transcriptome
ABHD13	Factor1	1.3253517244341994e-5	Human transcriptome
ABHD14B	Factor1	-5.911173806405783e-8	Human transcriptome
ABHD15	Factor1	6.665048361102139e-7	Human transcriptome
ABHD17A	Factor1	1.2033744883660612e-6	Human transcriptome
ABHD17B	Factor1	0.015849914137834938	Human transcriptome
ABHD17C	Factor1	-1.0639539306149956e-5	Human transcriptome
ABHD18	Factor1	9.862631423712885e-7	Human transcriptome
ABHD2	Factor1	-1.9664818629499153e-5	Human transcriptome
ABHD3	Factor1	4.2563393225459036e-5	Human transcriptome
ABHD4	Factor1	5.372010907208691e-6	Human transcriptome
ABHD5	Factor1	0.0634542099442744	Human transcriptome
ABHD6	Factor1	1.3381830393522363e-5	Human transcriptome
ABI1	Factor1	1.9161943817450414e-5	Human transcriptome
