group	factor	Human transcriptome
Esophagus_ECs_Control	Factor1	1.348487275623167
Esophagus_ECs_Control	Factor2	0.7666200561430636
Esophagus_ECs_Control	Factor3	0.4486827313568753
Esophagus_ECs_Control	Factor4	0.4729221428404706
Esophagus_ECs_Control	Factor5	0.16603869124500736
Esophagus_fibroblasts_EoE	Factor1	0.7048833723658832
Esophagus_fibroblasts_EoE	Factor2	1.0266444129035546
Esophagus_fibroblasts_EoE	Factor3	0.3742090138587062
Esophagus_fibroblasts_EoE	Factor4	0.32241389552294386
Esophagus_fibroblasts_EoE	Factor5	0.04635766627874016
