group	factor	Human transcriptome
Esophagus_ESCs_Control	Factor1	2.020924932839585
Esophagus_ESCs_Control	Factor2	2.0204077599673353
Esophagus_ESCs_Control	Factor3	0.09175045721998565
Esophagus_ESCs_Control	Factor4	0.42257723226186705
Esophagus_ESCs_Control	Factor5	0.027218961253161478
Esophagus_fibroblasts_EoE	Factor1	1.6081841347991843
Esophagus_fibroblasts_EoE	Factor2	0.4954946252307968
Esophagus_fibroblasts_EoE	Factor3	1.679985827774766
Esophagus_fibroblasts_EoE	Factor4	0.09823628865336387
Esophagus_fibroblasts_EoE	Factor5	0.017724576338074005
