sample	cluster	condition	control
GSM2769396	4	Esophagus_ESCs_Control_cluster_4	TRUE
GSM2769397	2	Esophagus_ESCs_Control_cluster_2	TRUE
GSM2769398	2	Esophagus_ESCs_Control_cluster_2	TRUE
GSM4260265	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260266	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260267	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260268	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260269	5	Esophagus_fibroblasts_EoE_cluster_5	FALSE
GSM4260270	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260271	1	Esophagus_fibroblasts_EoE_cluster_1	FALSE
GSM4260272	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260273	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
GSM4260274	3	Esophagus_fibroblasts_EoE_cluster_3	FALSE
GSM4260275	2	Esophagus_fibroblasts_EoE_cluster_2	FALSE
GSM4260276	4	Esophagus_fibroblasts_EoE_cluster_4	FALSE
