group	factor	Archaea metatranscriptome	Bacteria metatranscriptome	Eukaryota metatranscriptome	Human transcriptome	Viruses metatranscriptome
Blood_EoE	Factor1	-Inf	0.004387542208361683	-2.8699870093852553	1.137973042927476	2.599473584112355
Blood_EoE	Factor2	-Inf	0.0030878695000402523	14.298123922659045	0.2061186500674328	-2.2096725416618668
Blood_EoE	Factor3	-Inf	-0.0023690027590062	0.16354621671639258	1.7123939064039306	-0.21068801229473522
Blood_EoE	Factor4	-Inf	4.13027098922214e-4	0.07258662703961694	0.16986079784966357	-2.4708223756465975
Blood_EoE	Factor5	-Inf	0.2880324039279736	-0.0011959041465336995	-7.961959758162607e-7	0.6685218895047695
Esophagus_EoE	Factor1	-8.383457617000545e-6	1.1595236992789637e-7	0.0031213727426759874	0.07460328632427071	2.1694667173832727e-6
Esophagus_EoE	Factor2	3.565784175929565e-4	3.59166474339645e-7	0.08520839062025054	0.028784616539756502	5.08783392638712e-5
Esophagus_EoE	Factor3	-2.273392407659003e-6	2.5855809715480405e-7	-0.005618630948589498	0.44962622043398515	1.4299429995645596e-5
Esophagus_EoE	Factor4	0.0012918450106980117	3.0371559267550197e-6	0.006782699309793028	0.05407664659308198	1.077341401645171e-4
Esophagus_EoE	Factor5	92.84643562773792	36.23638608021391	19.439442900838312	0.02563490764383447	10.59303509939581
